station_id,latitude,longitude,yearly_avg_temp_c,days_recorded
USR0000CBRK,36.0931,-118.2603,6.13,365
USR0000CBRO,38.7383,-122.1447,18.73,320
USR0000CBSR,36.2356,-121.785,14.52,365
USR0000CBUL,40.4808,-120.1139,9.34,365
USR0000CBUR,34.2103,-116.6339,13.03,365
USR0000CBUU,32.7397,-114.8839,24.04,365
USR0000CBVR,38.4883,-120.325,11.46,330
USR0000CBZE,41.6853,-122.5942,12.2,365
USR0000CCAA,32.9736,-115.1736,23.53,348
USR0000CCAL,41.3075,-122.7958,10.96,365
USR0000CCAM,32.7214,-116.4631,13.85,365
USR0000CCAR,35.0964,-119.7728,16.7,365
USR0000CCAS,33.445,-117.4181,16.27,365
USR0000CCAT,37.4681,-120.1106,17.43,365
USR0000CCCI,37.9478,-104.8692,10.84,363
USR0000CCDG,36.7878,-118.6561,10.19,365
USR0000CCHB,34.1847,-118.7172,17.56,365
USR0000CCHE,39.1814,-105.2672,8.31,365
USR0000CCHI,34.3317,-118.0303,13.43,365
USR0000CCHU,34.8083,-119.0125,9.6,365
USR0000CCLA,34.1369,-117.7069,16.51,365
USR0000CCLE,34.2711,-118.1525,15.48,365
USR0000CCLK,33.8767,-117.3089,17.49,365
USR0000CCLV,37.5531,-121.8439,15.08,365
USR0000CCMO,36.4108,-118.8092,7.06,299
USR0000CCOC,39.64,-105.4647,5.56,365
USR0000CCOH,39.8717,-121.7689,18.09,333
USR0000CCOL,41.775,-122.9503,8.5,365
USR0000CCON,34.1942,-116.9131,10.97,365
USR0000CCOO,40.2569,-124.2661,11.04,365
USR0000CCOP,38.3139,-105.4844,7.33,365
USR0000CCOR,36.9911,-121.7978,13.96,365
USR0000CCOT,38.5731,-108.2778,8.67,365
USR0000CCOU,39.0189,-122.4119,15.87,365
USR0000CCP9,34.3617,-118.4217,14.14,365
USR0000CCPT,38.4594,-109.0469,7.12,365
USR0000CCRA,37.7617,-119.8247,9.65,363
USR0000CCRE,37.745,-118.9833,5.02,365
USR0000CCRN,39.9389,-122.1697,17.45,365
USR0000CCRO,39.3528,-107.0931,5.73,365
USR0000CCRR,40.0686,-121.5825,11.1,365
USR0000CCRT,33.7403,-116.8414,17.34,364
USR0000CCRZ,41.9919,-123.6036,9.85,365
USR0000CCSH,40.0017,-120.915,10.79,365
USR0000CCUC,37.0969,-104.9214,9.06,365
USR0000CDEA,40.0786,-107.3786,4.18,365
USR0000CDEM,39.46,-108.88,8.32,365
USR0000CDES,32.8569,-116.6222,14.03,365
USR0000CDEV,37.2269,-107.3047,8.8,365
USR0000CDGR,41.53,-120.6714,8.89,365
USR0000CDIA,37.3292,-121.2939,16.24,365
USR0000CDIN,40.5086,-108.9106,8.81,365
USR0000CDMC,35.5317,-118.6303,15.98,365
USR0000CDNK,37.0664,-119.0394,7.3,365
USR0000CDOG,39.5619,-120.0478,6.82,365
USR0000CDOW,39.6269,-106.4517,3.17,365
USR0000CDOY,40.0222,-120.1056,10.86,365
USR0000CDRA,39.9153,-108.8875,8.55,365
USR0000CDRY,40.535,-106.7808,4.19,365
USR0000CDUN,39.1439,-120.5089,7.98,354
USR0000CDVA,34.4311,-118.6828,17.15,365
USR0000CEAG,39.9278,-122.6569,13.54,357
USR0000CEDM,40.3008,-112.7764,10.22,365
USR0000CEEC,40.1383,-123.8236,13.18,365
USR0000CEEL,39.8333,-123.0833,14.1,365
USR0000CELC,33.6472,-117.4111,16.45,365
USR0000CELI,38.0631,-120.2469,12.31,365
USR0000CELM,34.6344,-117.5503,16.01,365
USR0000CEST,40.3667,-105.55,6.08,365
USR0000CFAN,36.8839,-119.4658,19.16,365
USR0000CFAW,34.2661,-116.8989,7.91,365
USR0000CFEN,36.9614,-119.175,12.56,365
USR0000CFHL,36.0117,-121.2417,15.34,365
USR0000CFIG,34.7331,-120.0067,15.63,365
USR0000CFIS,32.9903,-116.0669,24.61,365
USR0000CFIV,35.8717,-117.9183,17.15,365
USR0000CFOR,39.0914,-120.7317,12.45,365
USR0000CFOU,35.8922,-118.915,17.28,365
USR0000CFRE,33.8081,-117.7111,17.16,365
USR0000CFRI,40.505,-123.3417,10.42,356
USR0000CFTC,38.6586,-104.8539,10.33,365
USR0000CGHP,40.7817,-120.7844,6.7,365
USR0000CGOO,33.0736,-116.8458,16.86,365
USR0000CGOR,40.7586,-120.8961,6.26,365
USR0000CGRE,40.7578,-107.8533,5.69,363
USR0000CGSP,37.8331,-120.5,16.87,365
USR0000CGUN,40.2092,-106.3292,3.51,365
USR0000CGYP,39.6953,-106.9731,6.59,365
USR0000CHAS,36.3886,-121.5517,14.38,365
USR0000CHAW,38.7817,-122.9169,15.07,365
USR0000CHAY,40.55,-123.165,11.32,365
USR0000CHEL,39.0717,-120.4217,10.47,365
USR0000CHEP,40.8111,-110.0747,-2.91,365
USR0000CHER,36.3825,-120.8558,14.29,356
USR0000CHGL,39.2083,-122.8083,11.43,365
USR0000CHIG,37.3147,-119.0383,6.95,362
USR0000CHLD,39.0308,-123.0806,14.58,365
USR0000CHLR,36.8422,-121.3622,14.9,365
USR0000CHNM,36.5625,-117.4736,10.06,362
USR0000CHOL,40.6306,-120.5028,8.21,365
USR0000CHOO,41.0478,-123.6714,13.62,365
USR0000CHOR,35.7706,-115.9092,14.94,365
USR0000CHUM,38.3319,-107.0889,3.81,365
USR0000CHUN,39.7667,-108.3167,7.69,365
USR0000CHUR,37.0153,-119.5678,15.77,365
USR0000CIND,41.7417,-121.5383,9.09,365
USR0000CJAC,38.7533,-108.5797,6.71,365
USR0000CJAR,39.7358,-121.4889,14.82,365
USR0000CJAY,38.8417,-107.7361,10.76,365
USR0000CJER,37.5436,-119.8386,13.21,365
USR0000CJOH,35.9717,-118.545,9.59,365
USR0000CJUA,41.7861,-122.0056,8.66,365
USR0000CJUL,33.0758,-116.5908,13.24,365
USR0000CJUN,41.3322,-120.4725,9.07,365
USR0000CKEE,33.6667,-116.7667,13.54,365
USR0000CKET,36.0333,-120.0569,19.34,365
USR0000CKNO,38.8619,-122.4172,15.16,365
USR0000CKON,38.9119,-122.7064,15.61,365
USR0000CLAB,37.0547,-121.0531,17.71,365
USR0000CLAD,40.7392,-108.8347,8.71,365
USR0000CLAG,32.8797,-116.4203,10.36,365
USR0000CLAH,37.3053,-122.255,13.3,365
USR0000CLAP,35.3811,-120.1875,14.3,365
USR0000CLAR,35.4783,-117.6989,15.43,365
USR0000CLAS,40.3442,-121.7136,12.63,365
USR0000CLAU,40.1417,-120.3533,9.2,365
USR0000CLAY,39.7022,-123.485,13.14,365
USR0000CLDR,40.8072,-121.2967,8.57,357
USR0000CLEO,34.0456,-118.9358,16.8,364
USR0000CLGA,37.2028,-121.9428,14.8,365
USR0000CLGE,38.9772,-105.3553,4.43,365
USR0000CLHO,34.0178,-116.1878,15.19,365
USR0000CLIN,38.8825,-121.2683,16.8,365
USR0000CLIT,38.9692,-108.9444,9.44,365
USR0000CLKL,41.9992,-121.7003,8.35,365
USR0000CLOG,37.3517,-107.915,7.95,365
USR0000CLOP,34.5358,-119.7833,16.11,365
USR0000CLST,35.6564,-120.9242,14.36,365
USR0000CLTU,34.2936,-118.3608,17.13,365
USR0000CLUJ,38.2544,-106.5678,1.19,365
USR0000CLYO,39.1258,-123.0736,13.36,365
USR0000CLYT,34.2339,-117.4803,15.46,365
USR0000CMAD,40.4633,-123.5239,11.72,239
USR0000CMAL,34.0583,-118.6333,16.92,365
USR0000CMAN,40.54,-121.5803,6.87,365
USR0000CMCB,34.0836,-117.0347,16.33,365
USR0000CMCG,39.3528,-123.6011,12.21,365
USR0000CMEA,34.3906,-116.5169,17.82,365
USR0000CMEN,39.8075,-122.945,9.73,365
USR0000CMES,37.055,-107.7069,9.1,359
USR0000CMID,35.1231,-115.4114,13.45,365
USR0000CMIL,34.3903,-118.0825,13.03,365
USR0000CMIO,36.2314,-118.8689,17.86,365
USR0000CMLR,37.8172,-121.7789,14.99,365
USR0000CMNC,34.4614,-119.6481,16.64,365
USR0000CMOR,34.3175,-117.5019,14.52,365
USR0000CMOU,37.0544,-119.3711,13.79,365
USR0000CMRF,37.3006,-108.4133,8.5,364
USR0000CMRK,38.6833,-119.7667,8.81,365
USR0000CMS2,41.3156,-122.3156,10.32,365
USR0000CMSA,37.5042,-119.9869,15.11,365
USR0000CMTZ,38.3894,-120.6511,15.15,365
USR0000CNEE,38.3894,-106.5303,3.8,365
USR0000CNFO,37.2331,-119.5047,14.92,365
USR0000CNUC,38.2297,-108.5583,10.84,365
USR0000COAK,41.8386,-122.85,12.32,365
USR0000COAM,41.0064,-121.9833,13.55,365
USR0000COCR,36.8425,-118.2594,14.82,365
USR0000COKG,33.3933,-116.795,15.32,365
USR0000COKN,37.865,-122.2208,13.54,365
USR0000COKO,36.1753,-118.7017,15.15,365
USR0000COKS,37.7861,-122.1447,13.8,365
USR0000COPA,35.1542,-117.1756,17.38,365
USR0000COWE,38.7333,-120.245,9.02,365
USR0000COWV,37.39,-118.5506,14.41,365
USR0000COZE,34.6819,-119.3539,13.82,365
USR0000CPAR,35.8989,-120.4319,15.18,365
USR0000CPAT,40.295,-122.8667,12.98,365
USR0000CPCG,39.8744,-105.5164,4.28,365
USR0000CPCY,37.9056,-104.0556,12.26,363
USR0000CPHI,33.0164,-116.6339,13.99,365
USR0000CPIE,40.2461,-120.6422,8.6,364
USR0000CPIH,36.6853,-119,13.21,365
USR0000CPIK,39.475,-121.2025,13.29,365
USR0000CPIL,38.8325,-121.0086,15.42,365
USR0000CPIN,40.0097,-108.4597,7.67,365
USR0000CPKR,36.7242,-118.9425,9.23,303
USR0000CPNN,36.4708,-121.1472,15.56,365
USR0000CPNR,39.2603,-108.4072,8.97,365
USR0000CPOP,34.7325,-118.3833,15.73,365
USR0000CPOR,40.0978,-106.6464,1.35,365
USR0000CPOT,32.6058,-116.6089,15.12,365
USR0000CPOV,37.4431,-121.7706,14.78,365
USR0000CPRD,36.7269,-120.7658,17.17,365
USR0000CPUL,37.475,-122.2981,14.88,365
USR0000CQUA,41.5992,-122.9336,10.99,365
USR0000CQUI,39.9733,-120.9419,10.32,365
USR0000CRAV,40.7308,-120.3164,8.21,365
USR0000CRCH,33.2222,-116.4975,14.46,365
USR0000CRDR,39.3036,-121.1172,15.42,365
USR0000CRDS,40.5708,-105.2264,8.73,365
USR0000CREA,40.5158,-122.2906,17.35,365
USR0000CRED,38.8272,-106.2111,5.62,365
USR0000CREF,40.7981,-105.5722,4.95,365
USR0000CRIC,34.0608,-114.7322,22.53,365
USR0000CRIF,39.5122,-107.7492,9.05,365
USR0000CROC,37.5514,-118.6672,7.54,362
USR0000CROD,39.6681,-123.3211,12.72,365
USR0000CROS,34.5431,-119.1842,12.39,365
USR0000CROU,41.4272,-121.4639,8.88,364
USR0000CRSP,37.5019,-121.7355,13.29,365
USR0000CRUS,41.2944,-120.8639,9.02,365
USR0000CRUT,40.2506,-123.3158,10.88,365
USR0000CSAC,39.4172,-122.1825,17.08,365
USR0000CSAD,34.6847,-117.8208,16.4,365
USR0000CSAL,37.6511,-108.5364,6.11,365
USR0000CSAN,38.1917,-108.2167,6.7,365
USR0000CSAU,34.425,-118.525,17.2,365
USR0000CSAW,41.3003,-123.1322,12.31,365
USR0000CSBB,33.4833,-119.0333,15.74,365
USR0000CSCI,33.9958,-119.7222,15.76,365
USR0000CSCN,41.1117,-122.6967,10.77,316
USR0000CSDC,39.425,-122.9772,12.54,365
USR0000CSDD,39.6375,-120.8653,8.22,358
USR0000CSEC,39.1836,-120.8847,13.79,365
USR0000CSFD,34.1208,-117.9458,18.48,365
USR0000CSHA,37.135,-119.2561,7.76,365
USR0000CSHH,41.1383,-123.9056,11.04,365
USR0000CSHI,41.7358,-123.7917,7.81,281
USR0000CSHQ,36.5672,-118.9556,14.07,365
USR0000CSIM,41.075,-122.3733,13.3,365
USR0000CSKU,39.5625,-107.42,5.37,365
USR0000CSLA,41.8586,-123.3525,9.5,359
USR0000CSLP,40.2708,-105.8328,0.68,365
USR0000CSMI,32.685,-116.9736,17.16,365
USR0000CSNL,37.1822,-120.7939,16.59,365
USR0000CSNR,36.3478,-120.5978,12.03,365
USR0000CSOD,39.56,-105.9864,2.52,365
USR0000CSOL,40.9258,-121.5856,11.46,365
USR0000CSOM,41.39,-123.4958,13.52,365
USR0000CSQS,35.37,-117.5683,17.09,365
USR0000CSQU,32.9083,-114.4944,24.2,365
USR0000CSRI,33.9778,-120.0778,14.2,365
USR0000CSRO,33.5286,-117.2306,16.02,365
USR0000CSRS,38.4786,-122.7119,14.68,363
USR0000CSTA,39.4833,-120.075,6.9,365
USR0000CSTO,39.3669,-122.575,15.58,365
USR0000CSUF,40.9167,-122.4383,13.42,362
USR0000CSVA,37.5625,-122.4364,13.03,365
USR0000CTAN,34.2069,-117.7606,16.03,365
USR0000CTAY,38.9078,-106.6017,1.55,365
USR0000CTE2,34.4806,-118.7556,16.59,365
USR0000CTHO,39.8644,-122.6097,17.96,365
USR0000CTIM,41.6294,-121.2981,8.86,365
USR0000CTOM,37.3761,-119.1783,6.64,323
USR0000CTRA,37.8339,-122.0669,14.36,365
USR0000CTRI,40.7864,-122.8045,12.05,365
USR0000CTRM,36.9111,-119.305,17.24,365
USR0000CUHL,35.8889,-118.6333,13.31,365
USR0000CUND,40.7219,-123.4953,11.72,365
USR0000CVAL,33.2372,-117.0086,16.59,365
USR0000CVAN,41.6431,-121.7939,8.67,365
USR0000CVAY,34.4456,-117.8511,14.87,365
USR0000CVND,34.7586,-120.4861,13.86,365
USR0000CWAK,38.5653,-119.4592,11.38,365
USR0000CWAL,35.6647,-118.0569,12.44,365
USR0000CWAR,34.5958,-118.5786,14.49,365
USR0000CWEE,41.4789,-122.4539,11.64,365
USR0000CWES,40.3067,-120.9,8.13,347
USR0000CWHC,39.3167,-120.8375,12.65,365
USR0000CWHH,33.9839,-118.01,17.47,365
USR0000CWHT,40.6194,-121.8994,14.15,365
USR0000CWOF,35.7217,-118.4989,14.34,365
USR0000CWOL,36.445,-118.7033,12.35,365
USR0000CWOO,37.9906,-122.6447,14.2,365
USR0000CWPK,34.5686,-118.7403,14.28,365
USR0000CWSC,38.0039,-105.0564,5.98,365
USR0000CWWC,40.3517,-106.2153,2.68,365
USR0000CWWO,37.8511,-119.65,5.37,311
USR0000CYOL,40.3375,-123.0656,10.5,365
USR0000CYUC,34.1233,-116.4078,16.95,365
USR0000CYUR,41.2897,-123.8575,12.82,365
USR0000DIAM,40.6172,-109.2428,5.08,365
